Timestamp,Src IP,Dst IP,Src Port,Dst Port,Protocol,Length,Src Packet Count,Dst Packet Count,Src Byte Count,Dst Byte Count,Src Port Count,Dst Port Count,Src Length StdDev,Dst Length StdDev
1736949865.98456,10.59.108.55,17.248.209.72,63333,443,6,97,93,8,28632,4744,17,1,377.37814692745667,609.1209122286689
1736949865.985198,10.59.108.55,17.248.209.72,63333,443,6,535,94,8,29167,4744,17,1,376.07410681110787,609.1209122286689
1736949865.990704,10.59.107.167,224.0.0.251,5353,5353,17,103,1,0,103,0,1,1,0.0,0.0
1736949865.990999,17.248.209.72,10.59.108.55,443,63333,6,97,9,94,4841,29167,1,17,593.2831205344638,376.07410681110787
1736949865.991576,17.248.209.72,10.59.108.55,443,63333,6,66,10,94,4907,29167,1,17,578.9156626352792,376.07410681110787
1736949865.995362,17.248.209.72,10.59.108.55,443,63333,6,66,11,94,4973,29167,1,17,563.9381977744466,376.07410681110787
1736949865.995772,10.59.108.55,17.248.209.72,63333,443,6,66,95,11,29233,4973,17,1,374.9070711284102,563.9381977744466
1736949866.120901,17.248.209.72,10.59.108.55,443,63333,6,677,12,95,5650,29233,1,17,541.5996228905182,374.9070711284102
1736949866.1214578,17.248.209.72,10.59.108.55,443,63333,6,97,13,95,5747,29233,1,17,528.8062754195311,374.9070711284102
1736949866.1218,10.59.108.55,17.248.209.72,63333,443,6,66,96,13,29299,5747,17,1,373.7437517813696,528.8062754195311
1736949866.1605709,10.59.109.23,239.255.255.250,54638,1900,17,179,2,0,358,0,1,2,0.0,0.0
1736949866.2462661,17.248.209.72,10.59.108.55,443,63333,6,705,14,96,6452,29299,1,17,512.8970292732865,373.7437517813696
1736949866.2469718,10.59.108.55,17.248.209.72,63333,443,6,66,97,14,29365,6452,17,1,372.58448469955323,512.8970292732865
1736949866.347135,142.250.184.234,10.59.108.55,443,51596,6,152,1,97,152,29365,1,18,0.0,372.58448469955323
1736949866.347671,10.59.108.55,142.250.184.234,51596,443,6,66,98,1,29431,152,18,1,371.4295758737976,0.0
1736949866.349189,10.59.108.55,142.250.184.234,51596,443,6,101,99,1,29532,152,18,1,370.0722338355441,0.0
1736949866.349617,10.59.108.55,142.250.184.234,51596,443,6,101,100,1,29633,152,18,1,368.72669397330714,0.0
1736949866.419116,142.250.184.234,10.59.108.55,443,51596,6,66,2,100,218,29633,1,18,60.81118318204309,368.72669397330714
1736949866.419932,142.250.184.234,10.59.108.55,443,51596,6,66,3,100,284,29633,1,18,49.652123150307816,368.72669397330714
1736949866.749865,10.59.108.73,224.0.0.251,5353,5353,17,152,1,0,152,0,1,1,0.0,0.0
1736949866.954219,10.59.108.130,224.0.0.251,5353,5353,17,133,3,0,460,0,1,1,40.525712002793156,0.0
1736949867.061302,142.250.184.234,10.59.108.55,443,51596,6,152,4,100,436,29633,1,18,49.652123150307816,368.72669397330714
1736949867.061918,142.250.184.234,10.59.108.55,443,51596,6,97,5,100,533,29633,1,18,43.33358974283114,368.72669397330714
1736949867.0623949,142.250.184.234,10.59.108.55,443,51596,6,105,6,100,638,29633,1,18,38.764244693617684,368.72669397330714
1736949867.0628679,10.59.108.55,142.250.184.234,51596,443,6,66,101,6,29699,638,18,1,367.59359015732645,38.764244693617684
1736949867.063265,10.59.108.55,142.250.184.234,51596,443,6,105,102,6,29804,638,18,1,366.2479558072425,38.764244693617684
