Timestamp,Src IP,Dst IP,Src Port,Dst Port,Protocol,Length
1736948814.022277,10.59.108.55,51.104.15.252,51604,443,6,179
1736948814.02284,10.59.108.55,51.104.15.252,51604,443,6,1494
1736948814.023296,10.59.108.55,51.104.15.252,51604,443,6,589
1736948814.046475,51.104.15.252,10.59.108.55,443,51604,6,66
1736948814.0895302,51.104.15.252,10.59.108.55,443,51604,6,66
1736948814.2575161,10.59.108.55,10.59.107.93,51642,8009,6,78
1736948814.2910771,51.104.15.252,10.59.108.55,443,51604,6,164
1736948814.29152,10.59.108.55,51.104.15.252,51604,443,6,66
1736948814.421668,140.82.112.26,10.59.108.55,443,51608,6,91
1736948814.422252,10.59.108.55,140.82.112.26,51608,443,6,66
1736948814.422961,10.59.108.55,140.82.112.26,51608,443,6,95
1736948814.523511,140.82.112.26,10.59.108.55,443,51608,6,66
1736948815.08076,0.0.0.0,255.255.255.255,68,67,17,337
1736948815.258312,10.59.108.55,10.59.107.93,51642,8009,6,78
1736948815.4529269,10.59.108.106,224.0.0.251,5353,5353,17,168
1736948816.096632,142.250.184.234,10.59.108.55,443,51596,6,152
1736948816.0970109,10.59.108.55,142.250.184.234,51596,443,6,66
1736948816.098748,10.59.108.55,142.250.184.234,51596,443,6,101
1736948816.099159,10.59.108.55,142.250.184.234,51596,443,6,101
1736948816.107579,142.250.184.234,10.59.108.55,443,51596,6,66
1736948816.107862,142.250.184.234,10.59.108.55,443,51596,6,66
1736948816.1911738,10.59.107.242,224.0.0.251,5353,5353,17,89
1736948816.259396,10.59.108.55,10.59.107.93,51642,8009,6,78
1736948816.2984462,10.59.104.59,239.255.255.250,48469,1900,17,210
1736948816.61602,10.59.108.55,35.186.224.44,64943,443,6,109
1736948816.638273,35.186.224.44,10.59.108.55,443,64943,6,66
1736948816.642026,35.186.224.44,10.59.108.55,443,64943,6,106
1736948816.642236,10.59.108.55,35.186.224.44,64943,443,6,66
1736948816.806967,10.59.110.10,224.0.0.251,5353,5353,17,136
1736948816.855244,10.59.108.55,17.248.209.129,63281,443,6,129
1736948816.855493,10.59.108.55,17.248.209.129,63281,443,6,425
1736948816.857257,10.59.108.55,17.248.209.129,63281,443,6,130
1736948816.857515,10.59.108.55,17.248.209.129,63281,443,6,613
1736948816.8642502,17.248.209.129,10.59.108.55,443,63281,6,66
1736948816.8644822,17.248.209.129,10.59.108.55,443,63281,6,298
1736948816.866702,10.59.108.55,17.248.209.129,63281,443,6,66
1736948816.86705,17.248.209.129,10.59.108.55,443,63281,6,66
1736948816.8672671,17.248.209.129,10.59.108.55,443,63281,6,298
1736948816.867436,10.59.108.55,17.248.209.129,63281,443,6,66
1736948816.868552,10.59.108.55,17.248.209.129,63281,443,6,130
1736948816.8688178,10.59.108.55,17.248.209.129,63281,443,6,453
1736948816.878048,17.248.209.129,10.59.108.55,443,63281,6,66
1736948816.87827,17.248.209.129,10.59.108.55,443,63281,6,298
1736948816.878446,10.59.108.55,17.248.209.129,63281,443,6,66
1736948817.0728168,10.59.108.55,17.248.209.129,63281,443,6,130
1736948817.073057,10.59.108.55,17.248.209.129,63281,443,6,423
1736948817.0741801,10.59.108.55,17.248.209.129,63281,443,6,129
1736948817.074402,10.59.108.55,17.248.209.129,63281,443,6,614
1736948817.117919,10.59.108.208,224.0.0.251,5353,5353,17,278
1736948817.118324,10.59.108.208,224.0.0.251,5353,5353,17,103
1736948817.123341,17.248.209.129,10.59.108.55,443,63281,6,66
1736948817.123616,17.248.209.129,10.59.108.55,443,63281,6,298
